Id;Label;Eccentricity;Closeness Centrality;Betweenness Centrality;Degree;Weighted Degree;Component ID;Modularity Class;Clustering Coefficient;Number of triangles;Eigenvector Centrality;PageRank;Authority;Hub
948;m132353;4.0;2.9884295047628546;11686.920813453027;25;132.0;0;5;0.0;0;0.029381410107819098;4.8310948975712705E-5;6.5692395E-5;6.5692395E-5
949;m132358;4.0;3.9546656027130815;0.0;1;7.0;0;4;0.0;0;5.182235748035301E-4;9.387758206447193E-6;5.0532612E-6;5.0532612E-6
950;m132462;4.0;3.214552890130168;12003.371270617125;35;201.0;0;5;0.0;0;0.035191958430719844;6.779495780351924E-5;9.09587E-5;9.09587E-5
951;m132463;4.0;3.3249713231260287;676.0695156324915;2;10.0;0;4;0.0;0;0.007197298372089195;1.3544514038260963E-5;7.579892E-6;7.579892E-6
952;m132495;4.0;3.125679517231061;2928.646576759546;8;51.0;0;4;0.0;0;0.017930490340296954;2.6276446396466064E-5;2.2739676E-5;2.2739676E-5
953;m132507;4.0;3.3246720861802403;466.7052826159778;3;15.0;0;4;0.0;0;0.00782842880764812;1.4113853859818864E-5;1.01065225E-5;1.01065225E-5
954;m132587;4.0;3.8395591242332054;28.67487197701965;2;8.0;0;4;0.0;0;0.00221410725770537;1.005536919514683E-5;7.579892E-6;7.579892E-6
955;m132708;4.0;3.7139793526507408;0.0;1;3.0;0;4;0.0;0;0.002850046691962301;8.668127650046475E-6;5.0532612E-6;5.0532612E-6
956;m132745;4.0;3.8568151214403272;0.0;1;4.0;0;3;0.0;0;0.0014551914994600647;9.118100154143422E-6;5.0532612E-6;5.0532612E-6
957;m132762;4.0;2.7484414742406864;21629.11944335231;23;83.0;0;3;0.0;0;0.03440722881138496;3.57297792145653E-5;6.0639137E-5;6.0639137E-5
958;m132797;4.0;2.652087177696873;36879.23543524101;37;189.0;0;2;0.0;0;0.05740049970165268;6.791176328339841E-5;9.6011965E-5;9.6011965E-5
959;m132850;4.0;3.5378285372300633;1132.214727823641;8;51.0;0;4;0.0;0;0.010160455341145382;2.4476591873834382E-5;2.2739676E-5;2.2739676E-5
960;m132896;4.0;3.8268914268615033;0.0;1;4.0;0;4;0.0;0;0.0017396324399641244;8.977806076475104E-6;5.0532612E-6;5.0532612E-6
961;m132951;4.0;3.496533838711286;0.0;1;6.0;0;4;0.0;0;0.0043707010433324586;1.1005909028576612E-5;5.0532612E-6;5.0532612E-6
962;m133008;4.0;3.1210912173956413;4449.056415578873;7;45.0;0;4;0.0;0;0.015865897184518207;2.8082974282108322E-5;2.0213045E-5;2.0213045E-5
963;m133037;4.0;3.131863747444018;5812.558392911705;11;43.0;0;5;0.0;0;0.018709527580518432;2.2508883426837433E-5;3.0319568E-5;3.0319568E-5
964;m133039;4.0;3.243479128223031;1600.758730912917;7;59.0;0;0;0.0;0;0.011259232937728677;2.7228314514610517E-5;2.0213045E-5;2.0213045E-5
965;m133076;4.0;3.3836217645005235;251.95321428401618;2;14.0;0;4;0.0;0;0.005656938565861867;1.4391731689310596E-5;7.579892E-6;7.579892E-6
966;m133280;4.0;3.90279786544312;0.0;1;1.0;0;2;0.0;0;0.0012243657447735387;7.756361147630725E-6;5.0532612E-6;5.0532612E-6
967;m133284;4.0;3.862001895167323;0.0;1;8.0;0;3;0.0;0;0.001387248401849692;1.1216492032756473E-5;5.0532612E-6;5.0532612E-6
968;m133359;4.0;3.913570395491497;0.0;1;5.0;0;0;0.0;0;9.043463039869241E-4;9.134001532814233E-6;5.0532612E-6;5.0532612E-6
969;m133428;4.0;3.8734726447558727;0.0;1;6.0;0;6;0.0;0;0.0013200169071973186;9.991944490071024E-6;5.0532612E-6;5.0532612E-6
970;m133495;4.0;3.8786594184828687;0.0;1;5.0;0;2;0.0;0;0.0013985333846944963;9.010646882019955E-6;5.0532612E-6;5.0532612E-6
971;m133520;4.0;3.8963143982843746;0.0;1;4.0;0;5;0.0;0;0.0012623070354034196;8.614713812720548E-6;5.0532612E-6;5.0532612E-6
972;m133600;4.0;3.8174155902448756;50.80478052206129;3;15.0;0;3;0.0;0;0.002720061403123285;1.2182437134512554E-5;1.01065225E-5;1.01065225E-5
973;m133790;4.0;3.504912473193357;1260.099940075234;11;54.0;0;5;0.0;0;0.011945489461861785;2.41702493821933E-5;3.0319568E-5;3.0319568E-5
974;m133805;4.0;3.1412398384120492;2615.010598633718;6;35.0;0;0;0.0;0;0.01334909007892461;1.9945128926016923E-5;1.7686414E-5;1.7686414E-5
975;m133808;4.0;3.7654481073263177;0.0;1;3.0;0;4;0.0;0;0.0020256683224652732;9.418880512355552E-6;5.0532612E-6;5.0532612E-6
976;m133824;4.0;3.862001895167323;0.0;1;8.0;0;3;0.0;0;0.001387248401849692;1.1216492032756473E-5;5.0532612E-6;5.0532612E-6
977;m133864;4.0;3.0738117799610993;2385.939094350817;3;19.0;0;4;0.0;0;0.012005731682751273;1.7688781541396762E-5;1.01065225E-5;1.01065225E-5
978;m133932;4.0;2.7534287566704903;25415.305904873316;42;251.0;0;5;0.0;0;0.053989544156026276;8.28397579995614E-5;1.0864512E-4;1.0864512E-4
979;m133963;4.0;3.7654481073263177;0.0;1;4.0;0;4;0.0;0;0.0020256683224652732;1.0064990473096042E-5;5.0532612E-6;5.0532612E-6
980;m133981;4.0;3.8934217744750885;0.0;1;5.0;0;5;0.0;0;0.001365221231596147;8.8600865294355E-6;5.0532612E-6;5.0532612E-6
981;m134050;4.0;3.2677173208318786;2179.900960103127;3;14.0;0;3;0.0;0;0.00801406995093368;1.4029491749767206E-5;1.01065225E-5;1.01065225E-5
982;m134062;4.0;3.1998902797865445;14075.413112940918;34;254.0;0;5;0.0;0;0.03795209677511546;8.536289838000758E-5;8.8432076E-5;8.8432076E-5
983;m134066;4.0;3.1294698518777118;5348.386763691715;14;93.0;0;3;0.0;0;0.018215626520793934;3.806319632552395E-5;3.789946E-5;3.789946E-5
984;m134069;4.0;2.995511445813176;5551.249761703064;8;58.0;0;4;0.0;0;0.019740084176549547;3.174071106276403E-5;2.2739676E-5;2.2739676E-5
985;m134140;4.0;3.746695925390255;0.0;1;5.0;0;4;0.0;0;0.0024634005897948875;9.74396185232237E-6;5.0532612E-6;5.0532612E-6
986;m134166;4.0;3.924642162485662;0.0;1;8.0;0;3;0.0;0;7.711900822214962E-4;1.0226069493713698E-5;5.0532612E-6;5.0532612E-6
987;m134190;4.0;3.866091466759763;0.0;1;9.0;0;0;0.0;0;0.001460636933884134;1.085692815309909E-5;5.0532612E-6;5.0532612E-6
988;m134275;4.0;2.8312303625754325;10930.300794317067;13;94.0;0;6;0.0;0;0.030605322577137495;4.141041991850297E-5;3.537283E-5;3.537283E-5
989;m134390;4.0;2.9021495187272457;9224.577599104687;9;44.0;0;0;0.0;0;0.023399531529655883;2.576581806227976E-5;2.5266307E-5;2.5266307E-5
990;m134411;4.0;3.1614882050770534;3427.8367683716365;8;56.0;0;4;0.0;0;0.015629007479523893;2.7573527342307024E-5;2.2739676E-5;2.2739676E-5
991;m134456;4.0;3.6003690588998056;980.766867327252;9;50.0;0;5;0.0;0;0.009126969866186933;2.3698084540723057E-5;2.5266307E-5;2.5266307E-5
992;m134469;4.0;3.3249713231260287;676.0695156324915;2;10.0;0;4;0.0;0;0.007197298372089195;1.3465086798405363E-5;7.579892E-6;7.579892E-6
993;m134596;4.0;3.9492793376888935;4.350333015151644;2;9.0;0;5;0.0;0;7.267089421228742E-4;1.0044301951627904E-5;7.579892E-6;7.579892E-6
994;m134693;4.0;2.98015061592938;5529.248060560689;4;19.0;0;4;0.0;0;0.014125776219505093;1.7949972640399374E-5;1.2633153E-5;1.2633153E-5
995;m134724;4.0;3.9472844247169716;0.0;1;6.0;0;3;0.0;0;5.29499085378668E-4;9.413197664604382E-6;5.0532612E-6;5.0532612E-6
